Date,Geography,Metric,Value
2023-08-01,Citywide,GDP_Growth_YoY_pct,2.26
2023-09-01,Citywide,GDP_Growth_YoY_pct,2.28
2023-10-01,Citywide,GDP_Growth_YoY_pct,2.26
2023-11-01,Citywide,GDP_Growth_YoY_pct,2.28
2023-12-01,Citywide,GDP_Growth_YoY_pct,2.33
2024-01-01,Citywide,GDP_Growth_YoY_pct,2.33
2024-02-01,Citywide,GDP_Growth_YoY_pct,2.38
2024-03-01,Citywide,GDP_Growth_YoY_pct,2.31
2024-04-01,Citywide,GDP_Growth_YoY_pct,2.34
2024-05-01,Citywide,GDP_Growth_YoY_pct,2.35
2024-06-01,Citywide,GDP_Growth_YoY_pct,2.34
2024-07-01,Citywide,GDP_Growth_YoY_pct,2.35
2024-08-01,Citywide,GDP_Growth_YoY_pct,2.3
2024-09-01,Citywide,GDP_Growth_YoY_pct,2.3
2024-10-01,Citywide,GDP_Growth_YoY_pct,2.31
2024-11-01,Citywide,GDP_Growth_YoY_pct,2.36
2024-12-01,Citywide,GDP_Growth_YoY_pct,2.35
2025-01-01,Citywide,GDP_Growth_YoY_pct,2.33
2025-02-01,Citywide,GDP_Growth_YoY_pct,2.32
2025-03-01,Citywide,GDP_Growth_YoY_pct,2.35
2025-04-01,Citywide,GDP_Growth_YoY_pct,2.37
2025-05-01,Citywide,GDP_Growth_YoY_pct,2.36
2025-06-01,Citywide,GDP_Growth_YoY_pct,2.38
2025-07-01,Citywide,GDP_Growth_YoY_pct,2.39
2025-08-01,Citywide,GDP_Growth_YoY_pct,2.42
2018-01-01,Citywide,Unemployment_Rate_pct,5.98
2018-02-01,Citywide,Unemployment_Rate_pct,5.96
2018-03-01,Citywide,Unemployment_Rate_pct,5.94
2018-04-01,Citywide,Unemployment_Rate_pct,5.9
2018-05-01,Citywide,Unemployment_Rate_pct,5.9
2018-06-01,Citywide,Unemployment_Rate_pct,5.89
2018-07-01,Citywide,Unemployment_Rate_pct,5.88
2018-08-01,Citywide,Unemployment_Rate_pct,5.87
2018-09-01,Citywide,Unemployment_Rate_pct,5.82
2018-10-01,Citywide,Unemployment_Rate_pct,5.8
2018-11-01,Citywide,Unemployment_Rate_pct,5.78
2018-12-01,Citywide,Unemployment_Rate_pct,5.75
2019-01-01,Citywide,Unemployment_Rate_pct,5.74
2019-02-01,Citywide,Unemployment_Rate_pct,5.74
2019-03-01,Citywide,Unemployment_Rate_pct,5.77
2019-04-01,Citywide,Unemployment_Rate_pct,5.77
2019-05-01,Citywide,Unemployment_Rate_pct,5.77
2019-06-01,Citywide,Unemployment_Rate_pct,5.75
2019-07-01,Citywide,Unemployment_Rate_pct,5.7
2019-08-01,Citywide,Unemployment_Rate_pct,5.69
2019-09-01,Citywide,Unemployment_Rate_pct,5.68
2019-10-01,Citywide,Unemployment_Rate_pct,5.73
2019-11-01,Citywide,Unemployment_Rate_pct,5.71
2019-12-01,Citywide,Unemployment_Rate_pct,5.71
2020-01-01,Citywide,Unemployment_Rate_pct,5.7
2020-02-01,Citywide,Unemployment_Rate_pct,5.66
2020-03-01,Citywide,Unemployment_Rate_pct,5.68
2020-04-01,Citywide,Unemployment_Rate_pct,5.69
2020-05-01,Citywide,Unemployment_Rate_pct,5.7
2020-06-01,Citywide,Unemployment_Rate_pct,5.67
2020-07-01,Citywide,Unemployment_Rate_pct,5.69
2020-08-01,Citywide,Unemployment_Rate_pct,5.65
2020-09-01,Citywide,Unemployment_Rate_pct,5.65
2020-10-01,Citywide,Unemployment_Rate_pct,5.69
2020-11-01,Citywide,Unemployment_Rate_pct,5.66
2020-12-01,Citywide,Unemployment_Rate_pct,5.64
2021-01-01,Citywide,Unemployment_Rate_pct,5.63
2021-02-01,Citywide,Unemployment_Rate_pct,5.61
2021-03-01,Citywide,Unemployment_Rate_pct,5.56
2021-04-01,Citywide,Unemployment_Rate_pct,5.55
2021-05-01,Citywide,Unemployment_Rate_pct,5.51
2021-06-01,Citywide,Unemployment_Rate_pct,5.51
2021-07-01,Citywide,Unemployment_Rate_pct,5.48
2021-08-01,Citywide,Unemployment_Rate_pct,5.51
2021-09-01,Citywide,Unemployment_Rate_pct,5.48
2021-10-01,Citywide,Unemployment_Rate_pct,5.46
2021-11-01,Citywide,Unemployment_Rate_pct,5.47
2021-12-01,Citywide,Unemployment_Rate_pct,5.43
2022-01-01,Citywide,Unemployment_Rate_pct,5.43
2022-02-01,Citywide,Unemployment_Rate_pct,5.45
2022-03-01,Citywide,Unemployment_Rate_pct,5.4
2022-04-01,Citywide,Unemployment_Rate_pct,5.39
2022-05-01,Citywide,Unemployment_Rate_pct,5.39
2022-06-01,Citywide,Unemployment_Rate_pct,5.4
2022-07-01,Citywide,Unemployment_Rate_pct,5.36
2022-08-01,Citywide,Unemployment_Rate_pct,5.32
2022-09-01,Citywide,Unemployment_Rate_pct,5.32
2022-10-01,Citywide,Unemployment_Rate_pct,5.32
2022-11-01,Citywide,Unemployment_Rate_pct,5.31
2022-12-01,Citywide,Unemployment_Rate_pct,5.31
2023-01-01,Citywide,Unemployment_Rate_pct,5.28
2023-02-01,Citywide,Unemployment_Rate_pct,5.28
2023-03-01,Citywide,Unemployment_Rate_pct,5.28
2023-04-01,Citywide,Unemployment_Rate_pct,5.25
2023-05-01,Citywide,Unemployment_Rate_pct,5.29
2023-06-01,Citywide,Unemployment_Rate_pct,5.29
2023-07-01,Citywide,Unemployment_Rate_pct,5.25
2023-08-01,Citywide,Unemployment_Rate_pct,5.26
2023-09-01,Citywide,Unemployment_Rate_pct,5.22
2023-10-01,Citywide,Unemployment_Rate_pct,5.23
2023-11-01,Citywide,Unemployment_Rate_pct,5.25
2023-12-01,Citywide,Unemployment_Rate_pct,5.22
2024-01-01,Citywide,Unemployment_Rate_pct,5.23
2024-02-01,Citywide,Unemployment_Rate_pct,5.23
2024-03-01,Citywide,Unemployment_Rate_pct,5.24
2024-04-01,Citywide,Unemployment_Rate_pct,5.28
2024-05-01,Citywide,Unemployment_Rate_pct,5.27
2024-06-01,Citywide,Unemployment_Rate_pct,5.24
2024-07-01,Citywide,Unemployment_Rate_pct,5.2
2024-08-01,Citywide,Unemployment_Rate_pct,5.17
2024-09-01,Citywide,Unemployment_Rate_pct,5.16
2024-10-01,Citywide,Unemployment_Rate_pct,5.16
2024-11-01,Citywide,Unemployment_Rate_pct,5.16
2024-12-01,Citywide,Unemployment_Rate_pct,5.17
2025-01-01,Citywide,Unemployment_Rate_pct,5.16
2025-02-01,Citywide,Unemployment_Rate_pct,5.18
2025-03-01,Citywide,Unemployment_Rate_pct,5.17
2025-04-01,Citywide,Unemployment_Rate_pct,5.23
2025-05-01,Citywide,Unemployment_Rate_pct,5.23
2025-06-01,Citywide,Unemployment_Rate_pct,5.2
2025-07-01,Citywide,Unemployment_Rate_pct,5.16
2025-08-01,Citywide,Unemployment_Rate_pct,5.17
2018-01-01,Citywide,Median_Household_Income_USD,57996.65
2018-02-01,Citywide,Median_Household_Income_USD,58025.36
2018-03-01,Citywide,Median_Household_Income_USD,58050.46
2018-04-01,Citywide,Median_Household_Income_USD,58067.36
2018-05-01,Citywide,Median_Household_Income_USD,58072.66
2018-06-01,Citywide,Median_Household_Income_USD,58067.94
2018-07-01,Citywide,Median_Household_Income_USD,58079.24
2018-08-01,Citywide,Median_Household_Income_USD,58110.09
2018-09-01,Citywide,Median_Household_Income_USD,58131.3
2018-10-01,Citywide,Median_Household_Income_USD,58130.61
2018-11-01,Citywide,Median_Household_Income_USD,58151.21
2018-12-01,Citywide,Median_Household_Income_USD,58174.99
2019-01-01,Citywide,Median_Household_Income_USD,58179.73
2019-02-01,Citywide,Median_Household_Income_USD,58200.04
2019-03-01,Citywide,Median_Household_Income_USD,58218.91
2019-04-01,Citywide,Median_Household_Income_USD,58219.77
2019-05-01,Citywide,Median_Household_Income_USD,58243.13
2019-06-01,Citywide,Median_Household_Income_USD,58269.55
2019-07-01,Citywide,Median_Household_Income_USD,58303.79
2019-08-01,Citywide,Median_Household_Income_USD,58337.6
2019-09-01,Citywide,Median_Household_Income_USD,58334.93
2019-10-01,Citywide,Median_Household_Income_USD,58338.87
2019-11-01,Citywide,Median_Household_Income_USD,58364.59
2019-12-01,Citywide,Median_Household_Income_USD,58390.3
2020-01-01,Citywide,Median_Household_Income_USD,58416.02
2020-02-01,Citywide,Median_Household_Income_USD,58491.82
2020-03-01,Citywide,Median_Household_Income_USD,58518.38
2020-04-01,Citywide,Median_Household_Income_USD,58553.41
2020-05-01,Citywide,Median_Household_Income_USD,58585.72
2020-06-01,Citywide,Median_Household_Income_USD,58613.49
2020-07-01,Citywide,Median_Household_Income_USD,58626.76
2020-08-01,Citywide,Median_Household_Income_USD,58656.15
2020-09-01,Citywide,Median_Household_Income_USD,58662.56
2020-10-01,Citywide,Median_Household_Income_USD,58677.0
2020-11-01,Citywide,Median_Household_Income_USD,58687.72
2020-12-01,Citywide,Median_Household_Income_USD,58706.95
2021-01-01,Citywide,Median_Household_Income_USD,58759.67
2021-02-01,Citywide,Median_Household_Income_USD,58749.66
2021-03-01,Citywide,Median_Household_Income_USD,58777.96
2021-04-01,Citywide,Median_Household_Income_USD,58771.77
2021-05-01,Citywide,Median_Household_Income_USD,58782.69
2021-06-01,Citywide,Median_Household_Income_USD,58817.02
2021-07-01,Citywide,Median_Household_Income_USD,58835.98
2021-08-01,Citywide,Median_Household_Income_USD,58837.82
2021-09-01,Citywide,Median_Household_Income_USD,58845.09
2021-10-01,Citywide,Median_Household_Income_USD,58873.28
2021-11-01,Citywide,Median_Household_Income_USD,58880.33
2021-12-01,Citywide,Median_Household_Income_USD,58901.57
2022-01-01,Citywide,Median_Household_Income_USD,58920.26
2022-02-01,Citywide,Median_Household_Income_USD,58928.48
2022-03-01,Citywide,Median_Household_Income_USD,58978.64
2022-04-01,Citywide,Median_Household_Income_USD,59006.15
2022-05-01,Citywide,Median_Household_Income_USD,58993.77
2022-06-01,Citywide,Median_Household_Income_USD,59014.57
2022-07-01,Citywide,Median_Household_Income_USD,59022.64
2022-08-01,Citywide,Median_Household_Income_USD,59053.43
2022-09-01,Citywide,Median_Household_Income_USD,59059.54
2022-10-01,Citywide,Median_Household_Income_USD,59075.82
2022-11-01,Citywide,Median_Household_Income_USD,59101.4
2022-12-01,Citywide,Median_Household_Income_USD,59132.38
2023-01-01,Citywide,Median_Household_Income_USD,59132.38
2023-02-01,Citywide,Median_Household_Income_USD,59145.36
2023-03-01,Citywide,Median_Household_Income_USD,59156.24
2023-04-01,Citywide,Median_Household_Income_USD,59164.44
2023-05-01,Citywide,Median_Household_Income_USD,59208.92
2023-06-01,Citywide,Median_Household_Income_USD,59232.99
2023-07-01,Citywide,Median_Household_Income_USD,59232.08
2023-08-01,Citywide,Median_Household_Income_USD,59263.85
2023-09-01,Citywide,Median_Household_Income_USD,59313.68
2023-10-01,Citywide,Median_Household_Income_USD,59347.17
2023-11-01,Citywide,Median_Household_Income_USD,59342.38
2023-12-01,Citywide,Median_Household_Income_USD,59353.11
2024-01-01,Citywide,Median_Household_Income_USD,59390.12
2024-02-01,Citywide,Median_Household_Income_USD,59397.5
2024-03-01,Citywide,Median_Household_Income_USD,59422.16
2024-04-01,Citywide,Median_Household_Income_USD,59451.78
2024-05-01,Citywide,Median_Household_Income_USD,59455.88
2024-06-01,Citywide,Median_Household_Income_USD,59472.98
2024-07-01,Citywide,Median_Household_Income_USD,59442.36
2024-08-01,Citywide,Median_Household_Income_USD,59445.0
2024-09-01,Citywide,Median_Household_Income_USD,59459.21
2024-10-01,Citywide,Median_Household_Income_USD,59458.49
2024-11-01,Citywide,Median_Household_Income_USD,59500.98
2024-12-01,Citywide,Median_Household_Income_USD,59497.53
2025-01-01,Citywide,Median_Household_Income_USD,59508.93
2025-02-01,Citywide,Median_Household_Income_USD,59528.89
2025-03-01,Citywide,Median_Household_Income_USD,59568.51
2025-04-01,Citywide,Median_Household_Income_USD,59564.97
2025-05-01,Citywide,Median_Household_Income_USD,59600.42
2025-06-01,Citywide,Median_Household_Income_USD,59618.57
2025-07-01,Citywide,Median_Household_Income_USD,59621.85
2025-08-01,Citywide,Median_Household_Income_USD,59646.78
2018-01-01,Citywide,New_Business_Applications,400.3
2018-02-01,Citywide,New_Business_Applications,400.2
2018-03-01,Citywide,New_Business_Applications,401.1
2018-04-01,Citywide,New_Business_Applications,401.32
2018-05-01,Citywide,New_Business_Applications,402.3
2018-06-01,Citywide,New_Business_Applications,404.09
2018-07-01,Citywide,New_Business_Applications,407.27
2018-08-01,Citywide,New_Business_Applications,406.21
2018-09-01,Citywide,New_Business_Applications,410.21
2018-10-01,Citywide,New_Business_Applications,408.08
2018-11-01,Citywide,New_Business_Applications,408.65
2018-12-01,Citywide,New_Business_Applications,410.34
2019-01-01,Citywide,New_Business_Applications,411.56
2019-02-01,Citywide,New_Business_Applications,411.42
2019-03-01,Citywide,New_Business_Applications,411.91
2019-04-01,Citywide,New_Business_Applications,411.97
2019-05-01,Citywide,New_Business_Applications,411.89
2019-06-01,Citywide,New_Business_Applications,413.96
2019-07-01,Citywide,New_Business_Applications,415.3
2019-08-01,Citywide,New_Business_Applications,415.06
2019-09-01,Citywide,New_Business_Applications,417.21
2019-10-01,Citywide,New_Business_Applications,418.47
2019-11-01,Citywide,New_Business_Applications,420.49
2019-12-01,Citywide,New_Business_Applications,422.23
2020-01-01,Citywide,New_Business_Applications,421.79
2020-02-01,Citywide,New_Business_Applications,421.75
2020-03-01,Citywide,New_Business_Applications,423.67
2020-04-01,Citywide,New_Business_Applications,425.39
2020-05-01,Citywide,New_Business_Applications,426.15
2020-06-01,Citywide,New_Business_Applications,427.13
2020-07-01,Citywide,New_Business_Applications,429.85
2020-08-01,Citywide,New_Business_Applications,429.76
2020-09-01,Citywide,New_Business_Applications,431.38
2020-10-01,Citywide,New_Business_Applications,431.88
2020-11-01,Citywide,New_Business_Applications,432.35
2020-12-01,Citywide,New_Business_Applications,434.8
2021-01-01,Citywide,New_Business_Applications,436.84
2021-02-01,Citywide,New_Business_Applications,438.86
2021-03-01,Citywide,New_Business_Applications,441.62
2021-04-01,Citywide,New_Business_Applications,442.45
2021-05-01,Citywide,New_Business_Applications,444.27
2021-06-01,Citywide,New_Business_Applications,444.6
2021-07-01,Citywide,New_Business_Applications,445.89
2021-08-01,Citywide,New_Business_Applications,446.5
2021-09-01,Citywide,New_Business_Applications,447.44
2021-10-01,Citywide,New_Business_Applications,449.13
2021-11-01,Citywide,New_Business_Applications,448.71
2021-12-01,Citywide,New_Business_Applications,452.65
2022-01-01,Citywide,New_Business_Applications,451.94
2022-02-01,Citywide,New_Business_Applications,450.91
2022-03-01,Citywide,New_Business_Applications,453.45
2022-04-01,Citywide,New_Business_Applications,455.44
2022-05-01,Citywide,New_Business_Applications,457.18
2022-06-01,Citywide,New_Business_Applications,458.92
2022-07-01,Citywide,New_Business_Applications,459.7
2022-08-01,Citywide,New_Business_Applications,459.15
2022-09-01,Citywide,New_Business_Applications,460.07
2022-10-01,Citywide,New_Business_Applications,459.85
2022-11-01,Citywide,New_Business_Applications,462.11
2022-12-01,Citywide,New_Business_Applications,462.69
2023-01-01,Citywide,New_Business_Applications,462.26
2023-02-01,Citywide,New_Business_Applications,462.57
2023-03-01,Citywide,New_Business_Applications,463.99
2023-04-01,Citywide,New_Business_Applications,463.95
2023-05-01,Citywide,New_Business_Applications,463.51
2023-06-01,Citywide,New_Business_Applications,464.68
2023-07-01,Citywide,New_Business_Applications,465.85
2023-08-01,Citywide,New_Business_Applications,465.89
2023-09-01,Citywide,New_Business_Applications,465.98
2023-10-01,Citywide,New_Business_Applications,467.13
2023-11-01,Citywide,New_Business_Applications,465.76
2023-12-01,Citywide,New_Business_Applications,464.44
2024-01-01,Citywide,New_Business_Applications,464.17
2024-02-01,Citywide,New_Business_Applications,464.65
2024-03-01,Citywide,New_Business_Applications,465.91
2024-04-01,Citywide,New_Business_Applications,468.93
2024-05-01,Citywide,New_Business_Applications,471.01
2024-06-01,Citywide,New_Business_Applications,471.57
2024-07-01,Citywide,New_Business_Applications,472.34
2024-08-01,Citywide,New_Business_Applications,471.64
2024-09-01,Citywide,New_Business_Applications,472.41
2024-10-01,Citywide,New_Business_Applications,472.78
2024-11-01,Citywide,New_Business_Applications,474.06
2024-12-01,Citywide,New_Business_Applications,473.62
2025-01-01,Citywide,New_Business_Applications,475.2
2025-02-01,Citywide,New_Business_Applications,478.3
2025-03-01,Citywide,New_Business_Applications,478.94
2025-04-01,Citywide,New_Business_Applications,480.34
2025-05-01,Citywide,New_Business_Applications,482.18
2025-06-01,Citywide,New_Business_Applications,482.37
2025-07-01,Citywide,New_Business_Applications,483.51
2025-08-01,Citywide,New_Business_Applications,484.33
2018-01-01,Citywide,Housing_Permits,320.12
2018-02-01,Citywide,Housing_Permits,319.66
2018-03-01,Citywide,Housing_Permits,320.19
2018-04-01,Citywide,Housing_Permits,321.31
2018-05-01,Citywide,Housing_Permits,323.62
2018-06-01,Citywide,Housing_Permits,325.32
2018-07-01,Citywide,Housing_Permits,328.51
2018-08-01,Citywide,Housing_Permits,328.05
2018-09-01,Citywide,Housing_Permits,329.64
2018-10-01,Citywide,Housing_Permits,330.37
2018-11-01,Citywide,Housing_Permits,333.61
2018-12-01,Citywide,Housing_Permits,333.1
2019-01-01,Citywide,Housing_Permits,332.55
2019-02-01,Citywide,Housing_Permits,332.3
2019-03-01,Citywide,Housing_Permits,330.15
2019-04-01,Citywide,Housing_Permits,329.99
2019-05-01,Citywide,Housing_Permits,329.54
2019-06-01,Citywide,Housing_Permits,330.23
2019-07-01,Citywide,Housing_Permits,331.16
2019-08-01,Citywide,Housing_Permits,334.0
2019-09-01,Citywide,Housing_Permits,335.69
2019-10-01,Citywide,Housing_Permits,335.47
2019-11-01,Citywide,Housing_Permits,334.85
2019-12-01,Citywide,Housing_Permits,335.96
2020-01-01,Citywide,Housing_Permits,334.81
2020-02-01,Citywide,Housing_Permits,337.6
2020-03-01,Citywide,Housing_Permits,339.57
2020-04-01,Citywide,Housing_Permits,339.49
2020-05-01,Citywide,Housing_Permits,337.85
2020-06-01,Citywide,Housing_Permits,340.04
2020-07-01,Citywide,Housing_Permits,340.39
2020-08-01,Citywide,Housing_Permits,342.44
2020-09-01,Citywide,Housing_Permits,340.95
2020-10-01,Citywide,Housing_Permits,340.7
2020-11-01,Citywide,Housing_Permits,341.21
2020-12-01,Citywide,Housing_Permits,341.76
2021-01-01,Citywide,Housing_Permits,341.7
2021-02-01,Citywide,Housing_Permits,342.98
2021-03-01,Citywide,Housing_Permits,342.15
2021-04-01,Citywide,Housing_Permits,342.47
2021-05-01,Citywide,Housing_Permits,343.12
2021-06-01,Citywide,Housing_Permits,344.26
2021-07-01,Citywide,Housing_Permits,345.65
2021-08-01,Citywide,Housing_Permits,344.75
2021-09-01,Citywide,Housing_Permits,343.33
2021-10-01,Citywide,Housing_Permits,345.43
2021-11-01,Citywide,Housing_Permits,346.34
2021-12-01,Citywide,Housing_Permits,345.9
2022-01-01,Citywide,Housing_Permits,348.34
2022-02-01,Citywide,Housing_Permits,348.99
2022-03-01,Citywide,Housing_Permits,350.96
2022-04-01,Citywide,Housing_Permits,351.55
2022-05-01,Citywide,Housing_Permits,354.62
2022-06-01,Citywide,Housing_Permits,357.32
2022-07-01,Citywide,Housing_Permits,357.51
2022-08-01,Citywide,Housing_Permits,359.22
2022-09-01,Citywide,Housing_Permits,360.53
2022-10-01,Citywide,Housing_Permits,362.74
2022-11-01,Citywide,Housing_Permits,362.03
2022-12-01,Citywide,Housing_Permits,363.39
2023-01-01,Citywide,Housing_Permits,365.21
2023-02-01,Citywide,Housing_Permits,363.51
2023-03-01,Citywide,Housing_Permits,362.53
2023-04-01,Citywide,Housing_Permits,360.49
2023-05-01,Citywide,Housing_Permits,360.65
2023-06-01,Citywide,Housing_Permits,362.05
2023-07-01,Citywide,Housing_Permits,364.42
2023-08-01,Citywide,Housing_Permits,365.02
2023-09-01,Citywide,Housing_Permits,367.55
2023-10-01,Citywide,Housing_Permits,366.33
2023-11-01,Citywide,Housing_Permits,364.7
2023-12-01,Citywide,Housing_Permits,365.13
2024-01-01,Citywide,Housing_Permits,366.11
2024-02-01,Citywide,Housing_Permits,366.57
2024-03-01,Citywide,Housing_Permits,364.48
2024-04-01,Citywide,Housing_Permits,364.87
2024-05-01,Citywide,Housing_Permits,363.74
2024-06-01,Citywide,Housing_Permits,365.08
2024-07-01,Citywide,Housing_Permits,366.04
2024-08-01,Citywide,Housing_Permits,365.36
2024-09-01,Citywide,Housing_Permits,365.22
2024-10-01,Citywide,Housing_Permits,364.4
2024-11-01,Citywide,Housing_Permits,364.82
2024-12-01,Citywide,Housing_Permits,366.51
2025-01-01,Citywide,Housing_Permits,365.78
2025-02-01,Citywide,Housing_Permits,366.91
2025-03-01,Citywide,Housing_Permits,366.75
2025-04-01,Citywide,Housing_Permits,366.25
2025-05-01,Citywide,Housing_Permits,366.62
2025-06-01,Citywide,Housing_Permits,365.83
2025-07-01,Citywide,Housing_Permits,365.64
2025-08-01,Citywide,Housing_Permits,364.64
2018-01-01,Citywide,Community_Grant_Funding_USD,1507858.9
2018-02-01,Citywide,Community_Grant_Funding_USD,1509199.95
2018-03-01,Citywide,Community_Grant_Funding_USD,1507601.05
2018-04-01,Citywide,Community_Grant_Funding_USD,1509656.97
2018-05-01,Citywide,Community_Grant_Funding_USD,1510407.66
2018-06-01,Citywide,Community_Grant_Funding_USD,1854008.96
2018-07-01,Citywide,Community_Grant_Funding_USD,1514380.45
2018-08-01,Citywide,Community_Grant_Funding_USD,1518610.48
2018-09-01,Citywide,Community_Grant_Funding_USD,1517688.47
2018-10-01,Citywide,Community_Grant_Funding_USD,1516585.2
2018-11-01,Citywide,Community_Grant_Funding_USD,1516685.0
2018-12-01,Citywide,Community_Grant_Funding_USD,1508677.31
2019-01-01,Citywide,Community_Grant_Funding_USD,1503816.55
2019-02-01,Citywide,Community_Grant_Funding_USD,1510484.04
2019-03-01,Citywide,Community_Grant_Funding_USD,1518263.91
2019-04-01,Citywide,Community_Grant_Funding_USD,1518467.77
2019-05-01,Citywide,Community_Grant_Funding_USD,1521974.0
2019-06-01,Citywide,Community_Grant_Funding_USD,1524419.0
2019-07-01,Citywide,Community_Grant_Funding_USD,1537934.52
2019-08-01,Citywide,Community_Grant_Funding_USD,2588759.62
2019-09-01,Citywide,Community_Grant_Funding_USD,1544301.15
2019-10-01,Citywide,Community_Grant_Funding_USD,1541678.99
2019-11-01,Citywide,Community_Grant_Funding_USD,1536453.2
2019-12-01,Citywide,Community_Grant_Funding_USD,1538467.06
2020-01-01,Citywide,Community_Grant_Funding_USD,1536641.66
2020-02-01,Citywide,Community_Grant_Funding_USD,1532152.64
2020-03-01,Citywide,Community_Grant_Funding_USD,1530766.35
2020-04-01,Citywide,Community_Grant_Funding_USD,1527640.16
2020-05-01,Citywide,Community_Grant_Funding_USD,2017053.31
2020-06-01,Citywide,Community_Grant_Funding_USD,1540315.28
2020-07-01,Citywide,Community_Grant_Funding_USD,1541483.39
2020-08-01,Citywide,Community_Grant_Funding_USD,1548603.17
2020-09-01,Citywide,Community_Grant_Funding_USD,1550112.64
2020-10-01,Citywide,Community_Grant_Funding_USD,1547867.51
2020-11-01,Citywide,Community_Grant_Funding_USD,1555160.0
2020-12-01,Citywide,Community_Grant_Funding_USD,1558515.64
2021-01-01,Citywide,Community_Grant_Funding_USD,1555566.66
2021-02-01,Citywide,Community_Grant_Funding_USD,1556005.3
2021-03-01,Citywide,Community_Grant_Funding_USD,2001542.05
